item,itemLabel,politicalPartyLabel,positionHeldLabel,positionEnd,positionStart,militaryRankLabel,militaryRankStart,ismilitaryRankPIT,militaryEnd,nextHighestMilitaryRankLabel,nextLowestMilitaryRankLabel
http://www.wikidata.org/entity/Q523332,Yevgeny Savitsky,Communist Party of the Soviet Union,,,,captain,1938-01-01T00:00:00Z,0.0,,major,senior lieutenant
http://www.wikidata.org/entity/Q523332,Yevgeny Savitsky,Communist Party of the Soviet Union,,,,senior lieutenant,1937-01-01T00:00:00Z,0.0,,,
http://www.wikidata.org/entity/Q523332,Yevgeny Savitsky,Communist Party of the Soviet Union,,,,colonel,1942-07-01T00:00:00Z,0.0,,brigadier,lieutenant colonel
http://www.wikidata.org/entity/Q523332,Yevgeny Savitsky,Communist Party of the Soviet Union,,,,Air Force colonel general,1955-08-08T00:00:00Z,0.0,,,
http://www.wikidata.org/entity/Q211139,Mitrofan Krasnolutskiy,Communist Party of the Soviet Union,,,,major general,1955-08-08T00:00:00Z,0.0,,lieutenant general,brigadier general
http://www.wikidata.org/entity/Q321206,Pavel Kutakhov,Communist Party of the Soviet Union,,,,captain,1942-02-02T00:00:00Z,0.0,,major,senior lieutenant
http://www.wikidata.org/entity/Q321206,Pavel Kutakhov,Communist Party of the Soviet Union,,,,lieutenant,1939-09-22T00:00:00Z,0.0,,,
http://www.wikidata.org/entity/Q321206,Pavel Kutakhov,Communist Party of the Soviet Union,,,,senior lieutenant,1941-10-14T00:00:00Z,0.0,,,
http://www.wikidata.org/entity/Q321206,Pavel Kutakhov,Communist Party of the Soviet Union,,,,major,1942-06-29T00:00:00Z,0.0,,lieutenant colonel,captain
http://www.wikidata.org/entity/Q321206,Pavel Kutakhov,Communist Party of the Soviet Union,,,,podpolkovnik,1944-10-24T00:00:00Z,0.0,,colonel,major
http://www.wikidata.org/entity/Q321206,Pavel Kutakhov,Communist Party of the Soviet Union,,,,colonel,1950-06-27T00:00:00Z,0.0,,brigadier,lieutenant colonel
http://www.wikidata.org/entity/Q321206,Pavel Kutakhov,Communist Party of the Soviet Union,,,,Air Force major general,1954-05-31T00:00:00Z,0.0,,,
http://www.wikidata.org/entity/Q4056834,Nikolay Ageyev,Communist Party of the Soviet Union,,,,senior lieutenant,1945-07-20T00:00:00Z,0.0,,,
http://www.wikidata.org/entity/Q4056834,Nikolay Ageyev,Communist Party of the Soviet Union,,,,podpolkovnik,1957-06-20T00:00:00Z,0.0,,colonel,major
http://www.wikidata.org/entity/Q4056834,Nikolay Ageyev,Communist Party of the Soviet Union,,,,major,1951-11-21T00:00:00Z,0.0,,lieutenant colonel,captain
http://www.wikidata.org/entity/Q4056834,Nikolay Ageyev,Communist Party of the Soviet Union,,,,captain,1948-07-28T00:00:00Z,0.0,,major,senior lieutenant
http://www.wikidata.org/entity/Q4056834,Nikolay Ageyev,Communist Party of the Soviet Union,,,,Unterleutnant,1943-08-26T00:00:00Z,0.0,,,
http://www.wikidata.org/entity/Q4056834,Nikolay Ageyev,Communist Party of the Soviet Union,,,,lieutenant,1944-04-27T00:00:00Z,0.0,,,
http://www.wikidata.org/entity/Q83855,Vasili Blokhin,Communist Party of the Soviet Union,,,,major general,1945-07-09T00:00:00Z,0.0,,lieutenant general,brigadier general
http://www.wikidata.org/entity/Q157594,Vasily Chuikov,Communist Party of the Soviet Union,,,,Komdiv,1938-07-23T00:00:00Z,0.0,,,
http://www.wikidata.org/entity/Q157594,Vasily Chuikov,Communist Party of the Soviet Union,,,,General of the Army,1948-11-12T00:00:00Z,0.0,,,
http://www.wikidata.org/entity/Q157594,Vasily Chuikov,Communist Party of the Soviet Union,,,,lieutenant general,1940-06-04T00:00:00Z,0.0,,colonel general,major general
http://www.wikidata.org/entity/Q157594,Vasily Chuikov,Communist Party of the Soviet Union,,,,Marshal of the Soviet Union,1955-03-11T00:00:00Z,0.0,,Generalissimus of the Soviet Union,General of the army
http://www.wikidata.org/entity/Q157594,Vasily Chuikov,Communist Party of the Soviet Union,,,,Comcor,1939-02-09T00:00:00Z,0.0,,,
http://www.wikidata.org/entity/Q157594,Vasily Chuikov,Communist Party of the Soviet Union,,,,kombrig,1935-11-20T00:00:00Z,0.0,,,
http://www.wikidata.org/entity/Q157594,Vasily Chuikov,Communist Party of the Soviet Union,,,,colonel general,1943-10-27T00:00:00Z,0.0,,General of the Army,lieutenant general
http://www.wikidata.org/entity/Q4057939,Vasily Adonkin,Communist Party of the Soviet Union,,,,captain,1942-06-05T00:00:00Z,0.0,,major,senior lieutenant
http://www.wikidata.org/entity/Q342462,Nikolay Gerasimovich Kuznetsov,Communist Party of the Soviet Union,,,,vice admiral,1956-01-01T00:00:00Z,1.0,,admiral,counter admiral
http://www.wikidata.org/entity/Q342462,Nikolay Gerasimovich Kuznetsov,Communist Party of the Soviet Union,,,,Admiral of the fleet (USSR),1953-05-11T00:00:00Z,0.0,,,
http://www.wikidata.org/entity/Q342462,Nikolay Gerasimovich Kuznetsov,Communist Party of the Soviet Union,,,,Admiral of the fleet (USSR),1944-05-31T00:00:00Z,0.0,,,
http://www.wikidata.org/entity/Q564852,Semyon Kozak,Communist Party of the Soviet Union,,,,lieutenant general,1945-04-19T00:00:00Z,0.0,,colonel general,major general
http://www.wikidata.org/entity/Q122658,Vasiliy Rakov,Communist Party of the Soviet Union,,,,Air Force major general,1958-01-01T00:00:00Z,0.0,,,
http://www.wikidata.org/entity/Q670030,Issa Pliyev,Communist Party of the Soviet Union,,,,major general,1941-09-11T00:00:00Z,0.0,,lieutenant general,brigadier general
http://www.wikidata.org/entity/Q670030,Issa Pliyev,Communist Party of the Soviet Union,,,,colonel general,1945-05-29T00:00:00Z,0.0,,General of the Army,lieutenant general
http://www.wikidata.org/entity/Q670030,Issa Pliyev,Communist Party of the Soviet Union,,,,lieutenant general,1943-10-29T00:00:00Z,0.0,,colonel general,major general
http://www.wikidata.org/entity/Q670030,Issa Pliyev,Communist Party of the Soviet Union,,,,colonel,1939-01-01T00:00:00Z,0.0,,brigadier,lieutenant colonel
http://www.wikidata.org/entity/Q670030,Issa Pliyev,Communist Party of the Soviet Union,,,,captain,1936-01-01T00:00:00Z,0.0,,major,senior lieutenant
http://www.wikidata.org/entity/Q4055550,Pyotr Avdeyenko,Communist Party of the Soviet Union,,,,major general,1943-02-04T00:00:00Z,0.0,,lieutenant general,brigadier general
http://www.wikidata.org/entity/Q4056583,Filipp Agaltsov,Communist Party of the Soviet Union,,,,Regimental Commissioner,1935-01-01T00:00:00Z,0.0,,,
http://www.wikidata.org/entity/Q4056583,Filipp Agaltsov,Communist Party of the Soviet Union,,,,Air Force colonel general,1955-08-08T00:00:00Z,0.0,,,
http://www.wikidata.org/entity/Q4056583,Filipp Agaltsov,Communist Party of the Soviet Union,,,,Air Force lieutenant general,1946-03-01T00:00:00Z,0.0,,,
http://www.wikidata.org/entity/Q4056583,Filipp Agaltsov,Communist Party of the Soviet Union,,,,colonel,1940-01-01T00:00:00Z,0.0,,brigadier,lieutenant colonel
http://www.wikidata.org/entity/Q4056583,Filipp Agaltsov,Communist Party of the Soviet Union,,,,Air Force major general,1943-05-28T00:00:00Z,0.0,,,
